ID,Name,Car Plate Number,License Number,Issue Date,Expiry Date,Phone Number,Traffic Code Number,Place of Issue,Email Address
988-2874-5817595-2,Sara Ahmed,14023,70557,14-08-2015,15-12-2012,512532625,1246781110,Sharjah,sara.ahmed@example.com
668-6397-2474540-2,Sara Ahmed,34930,76708,27-01-2017,31-08-2002,573042752,1205047157,Abu Dhabi,sara.ahmed@example.com
431-5134-9795294-2,Sara Alhammadi,45912,89116,30-10-1995,13-11-1993,575252924,1136000193,Dubai,sara.alhammadi@example.com
190-2407-7647363-2,Yunus Ahmed,15780,60240,26-03-2013,05-03-2001,502441680,1824862930,Dubai,yunus.ahmed@example.com
601-4284-9922463-2,Yunus Alhammadi,54994,58686,27-11-2019,18-09-2003,512592347,1438527340,Dubai,yunus.alhammadi@example.com
771-8561-7315090-2,Khalid Mohamed,13038,90926,12-06-1992,09-05-2003,566102579,1780808534,Sharjah,khalid.mohamed@example.com
362-9930-7744104-2,Sara Mohamed,40733,57276,31-08-2015,20-11-1997,500800731,1660157070,Sharjah,sara.mohamed@example.com
514-1710-5189662-2,Yunus Alhammadi,36441,57518,17-12-1991,24-08-2000,507477385,1596002804,Sharjah,yunus.alhammadi@example.com
307-2909-2618083-2,Sara Ahmed,26038,96903,04-12-2008,12-08-2014,503863958,1196913053,Abu Dhabi,sara.ahmed@example.com
322-3297-6906459-2,Sara Ahmed,37953,80359,10-05-2019,08-03-2015,558204459,1564258213,Sharjah,sara.ahmed@example.com
723-8287-3843270-2,Yunus Ahmed,11607,91546,12-11-2011,20-06-1999,550214259,1423863395,Dubai,yunus.ahmed@example.com
576-7217-2304029-2,Sara Ahmed,56379,80082,30-05-1997,25-04-1990,524003936,1710030327,Sharjah,sara.ahmed@example.com
677-8878-1195530-2,Yunus Mohamed,99990,98000,22-10-1996,24-04-2000,548331549,1961132214,Dubai,yunus.mohamed@example.com
695-8154-7991189-2,Sara Mohamed,39816,90520,27-12-2007,10-07-2009,522724346,1990814318,Abu Dhabi,sara.mohamed@example.com
812-8115-6378239-2,Yunus Mohamed,64501,95788,26-02-2016,16-12-2014,576184184,1259952938,Sharjah,yunus.mohamed@example.com
